epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
89,8104.9,0.4304,0.67484,0.31897,0.91252,0.97525,0.94382,0.98235,0.85889,0.93016,0.94382,0.96537,0.86333,0.56568,0.90607,0.37666,0.9332,0.0002576,0.0002576,0.0002576
90,8126.33,0.42409,0.70797,0.31465,0.91133,0.96179,0.95506,0.97941,0.85442,0.93884,0.93258,0.96353,0.85443,0.56715,0.88131,0.39574,0.9255,0.0002378,0.0002378,0.0002378
91,8149.38,0.30915,0.57123,0.32361,0.84442,0.96247,0.96629,0.97576,0.8496,0.93909,0.94382,0.96114,0.84858,0.58954,0.91437,0.40182,0.94204,0.000218,0.000218,0.000218
92,8166.25,0.31022,0.56556,0.25879,0.84248,0.9748,0.96629,0.97651,0.8474,0.95206,0.94382,0.95293,0.84545,0.61136,0.96267,0.38352,0.96592,0.0001982,0.0001982,0.0001982
93,8183.91,0.31402,0.56634,0.249,0.8259,0.97717,0.96166,0.97419,0.84017,0.95435,0.93956,0.94888,0.84163,0.61603,1.03462,0.39916,0.97364,0.0001784,0.0001784,0.0001784
94,8202.86,0.29356,0.533,0.23835,0.8325,0.96448,0.96629,0.97402,0.84251,0.942,0.94382,0.9486,0.8322,0.61258,1.0711,0.39914,0.97828,0.0001586,0.0001586,0.0001586
95,8221.03,0.30625,0.52276,0.24018,0.83927,0.97558,0.96629,0.97607,0.83675,0.95285,0.94382,0.95267,0.83772,0.62549,1.05296,0.39916,0.98536,0.0001388,0.0001388,0.0001388
96,8240.95,0.30108,0.53284,0.23079,0.83501,0.97547,0.96629,0.97722,0.85371,0.95279,0.94382,0.95621,0.84168,0.60574,1.00254,0.38338,0.9782,0.000119,0.000119,0.000119
97,8263.21,0.29963,0.51895,0.23114,0.81538,0.97722,0.96419,0.97758,0.85786,0.95445,0.94178,0.95705,0.84816,0.59567,0.97522,0.38187,0.97468,9.92e-05,9.92e-05,9.92e-05
98,8283.04,0.28159,0.51015,0.22381,0.83577,0.9725,0.95506,0.97714,0.86001,0.94952,0.93258,0.95669,0.85159,0.58218,0.97376,0.38016,0.97253,7.94e-05,7.94e-05,7.94e-05
99,8300.28,0.28151,0.54747,0.21876,0.82477,0.97296,0.95506,0.97711,0.8612,0.94969,0.93258,0.95665,0.85117,0.582,0.9712,0.37871,0.97685,5.96e-05,5.96e-05,5.96e-05
100,8317.55,0.2762,0.51441,0.21113,0.83129,0.97094,0.95506,0.97717,0.85658,0.95764,0.94382,0.96702,0.85097,0.5823,0.9615,0.37629,0.97645,3.98e-05,3.98e-05,3.98e-05
